Lazada,Lazada Price,Shopee,Shopee Price,Cosine Similarity,Price Difference
Kevin 1 pcs Soap Mesh Foaming Net Bubble Mesh Bag Skin Clean Tool,122.0,Kevin 1 pcs Soap Mesh Foaming Net Bubble Mesh Bag Skin Clean Tool,5.0,1.0,117.0
3pcs Body Scrubber Rubbing Brushes for Body Back Bath Shower ball Scrubbing gloves,80.0,Shower Scrubber Loofah Sponge Bath Body Back Brush,15.0,0.547722557505166,65.0
Bath Shower Sponge Shower Body Wash Scrubber Cleaning Scrubs Bathing Ball Exfoliator Soap Mesh,76.0,Bath Scrubbers Mesh Net Ball Bath Shower Sponge,9.0,0.5533985905294664,67.0
Nest Shower bath gloves exfoliating wash skin mitt massage loofah body scrubber,85.0,JH 1pc Shower Gloves Exfoliating Wash Skin Spa Bath Gloves Foam Bath Skid Resist COD,9.0,0.5298129428260175,76.0
❈☞☌ RAPLUS Bathroom Flower Mesh Bath Washing Body Wisp Ball Body Wash B010,214.0,RAPLUS Bathroom Flower Mesh Bath Washing Body Wisp Ball Body Wash B010,38.0,0.9999999999999999,176.0
Happy Bath Body Wash Natural/Essence/Perfume/Forever 900g Korean Product Korean Body Wash,260.0,Happy Bath Body Wash Natural/Essence/Perfume/Forever 900g Korean Product Korean Body Wash,260.0,1.0,0.0
Images Fruit Extract Bath Scrub Perfume Body Wash SPA Shower Exfoliate Cream Men Women 300ml,326.0,Images Fruit Extract Bath Scrub Perfume Body Wash SPA Shower Exfoliate Cream Men Women 300ml,62.0,0.9999999999999998,264.0
[Radiance Routine - Nourish Set] Cetaphil Brightness Reveal Body Wash - 245ml + Brightening Lotion - 245ml,1639.0,NO SIMILAR PRODUCT FOUND,0.0,0.0,N/A
【[Suport Cash On Delivery]】 New Wash Face Soap Foaming Net Bath Shower Soap Blister Bubble Mesh Body sing Nets Bath Washing Tool Bathroom Accessories,172.0,New Wash Face Soap Foaming Net Bath Shower Soap Blister Bubble Mesh Body Cleansing Nets Bath Washing Tool Bathroom,9.0,0.8669214468630106,163.0
"Human Heart Nature 120g Kids Bath Soap in Chocolate Adventure, Kid's Care, , 120g",82.0,Human Nature Kids Bath Soap 120g,74.0,0.7378647873726218,8.0
